meet_name,facility_name,meet_start_date,meet_end_date,gender,team_abbr,event_no,stroke,distance,seed_time,round,time,time_code,course,heat,lane,heat_place,overall_place,backup_time_1,backup_time_2,swimmer_1_mm_id,reaction_time_1,swimmer_2_mm_id,reaction_time_2,swimmer_3_mm_id,reaction_time_3,swimmer_4_mm_id,reaction_time_4
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,1,Free,800,452.29,F,430.95,,Y,1,5,3,3,0.00,431.09,95,0.74,81,0.44,127,0.58,116,0.37
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,1,Free,800,455.23,F,434.78,,Y,1,3,4,4,0.00,435.01,91,0.70,103,0.16,89,0.38,108,0.38
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,2,Free,800,399.21,F,383.84,,Y,1,5,3,3,383.91,0.00,117,0.85,97,0.57,110,0.47,96,0.22
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,2,Free,800,401.23,F,390.94,,Y,1,3,6,6,0.00,391.20,63,0.62,87,0.29,111,0.31,66,0.21
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,2,Free,800,405.23,F,393.02,,Y,1,7,7,7,0.00,393.07,106,0.66,100,0.07,61,0.33,122,0.39
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,2,Free,800,410.23,F,404.87,,Y,1,1,8,8,0.00,0.00,70,0.69,92,0.18,105,0.21,113,0.34
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,3,Free,200,95.11,F,91.43,,Y,1,3,5,5,91.69,91.49,81,0.73,95,0.26,72,0.23,80,0.29
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,3,Free,200,98.97,F,93.54,,Y,1,6,7,7,93.74,93.52,126,0.66,127,0.46,125,0.11,79,0.43
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,4,Free,200,81.65,F,79.42,,Y,2,6,5,5,79.41,79.43,104,0.58,117,0.14,63,0.39,102,0.37
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,4,Free,200,85.36,F,81.63,,Y,2,2,6,8,81.70,81.89,96,0.69,119,0.21,65,0.31,100,-0.02
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,4,Free,200,85.45,F,81.33,,Y,1,4,2,7,81.65,81.64,92,0.65,85,0.30,105,0.39,84,0.17
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,13,Medley,400,227.54,F,216.99,,Y,2,2,6,7,217.20,217.25,69,0.64,76,0.30,95,0.41,81,0.47
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,13,Medley,400,228.56,F,225.67,,Y,2,7,7,9,225.73,225.78,125,0.74,80,0.15,94,0.19,126,0.26
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,13,Medley,400,230.81,F,222.85,,Y,1,4,2,8,222.92,223.08,78,0.64,109,0.37,62,0.33,79,0.46
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,14,Medley,400,197.80,F,190.24,,Y,2,6,5,6,190.45,190.38,114,0.62,85,0.16,110,0.33,117,0.12
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,14,Medley,400,201.60,F,194.57,,Y,2,7,6,8,194.57,194.58,111,0.61,121,0.28,102,0.03,63,0.30
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,14,Medley,400,204.17,F,195.34,,Y,2,1,7,9,195.50,195.57,90,0.60,120,0.38,65,0.34,104,0.07
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,14,Medley,400,205.16,F,197.45,,Y,1,4,3,10,197.80,197.73,100,0.61,88,0.38,112,0.40,105,0.38
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,15,Medley,200,103.30,F,99.66,,Y,1,3,6,6,99.83,99.67,69,0.59,76,-0.73,95,0.36,81,0.26
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,15,Medley,200,105.46,F,101.35,,Y,1,7,7,7,101.51,101.54,78,0.66,109,0.21,94,0.29,72,0.29
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,16,Medley,200,90.12,F,86.75,,Y,2,3,3,5,86.92,86.77,104,0.62,85,0.06,102,0.34,117,0.15
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,16,Medley,200,93.52,F,87.48,,Y,2,2,4,6,87.70,87.65,114,0.62,121,0.23,110,0.14,100,0.12
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,16,Medley,200,94.38,F,89.79,,Y,2,1,5,8,90.02,89.92,63,0.62,67,-0.03,119,0.55,96,0.23
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,16,Medley,200,96.23,F,89.33,,Y,1,4,3,7,89.47,89.57,90,0.63,88,0.26,65,-0.14,97,0.02
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,41,Free,400,208.27,F,199.98,,Y,2,3,5,6,200.23,200.11,81,0.69,95,0.22,127,0.40,69,0.19
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,41,Free,400,216.23,F,204.57,,Y,2,2,7,8,204.79,204.86,103,0.74,108,0.39,126,0.38,72,0.29
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UKY,41,Free,400,218.26,F,205.39,,Y,2,1,8,9,205.70,205.59,91,0.71,80,0.35,79,0.58,98,0.33
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,42,Free,400,186.16,F,174.19,,Y,2,3,4,4,174.44,174.30,63,0.57,117,,105,0.26,104,0.09
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,42,Free,400,193.26,F,177.24,,Y,2,2,7,8,177.45,177.43,102,0.62,110,0.35,119,0.47,100,0.07
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,42,Free,400,194.23,F,180.08,,Y,2,1,8,9,180.51,180.16,65,0.69,85,0.02,97,0.34,96,0.28
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UKY,42,Free,400,196.23,F,181.08,,Y,1,4,3,11,181.23,181.29,61,0.71,92,0.24,111,0.27,87,0.32
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,1,Free,800,413.43,F,416.95,,Y,1,4,1,1,0.00,416.95,39,0.72,57,0.29,7,0.18,31,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,1,Free,800,0.00,F,420.95,,Y,1,2,2,2,420.89,0.00,5,0.69,55,0.27,16,0.13,6,0.01
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,1,Free,800,0.00,F,435.96,,Y,1,6,5,5,435.94,435.98,8,0.64,60,0.35,35,0.00,13,
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,1,Free,800,0.00,F,434.10,Q67,Y,1,7,0,0,0.00,434.17,36,0.80,33,0.31,34,-0.14,53,0.11
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,2,Free,800,379.04,F,372.33,,Y,1,4,1,1,0.00,372.37,9,0.65,32,,29,0.31,15,0.34
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,2,Free,800,0.00,F,383.09,,Y,1,6,2,2,383.12,383.06,40,0.68,26,0.15,10,0.10,12,0.24
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,2,Free,800,0.00,F,384.63,,Y,1,2,4,4,384.46,0.00,19,0.64,28,0.05,1,0.20,42,0.07
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,2,Free,800,0.00,F,390.15,,Y,1,8,5,5,390.18,390.10,52,0.67,50,0.48,11,0.10,25,0.18
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,3,Free,200,86.87,F,87.11,,Y,1,5,2,2,87.37,87.33,56,0.98,39,0.57,53,0.38,31,0.32
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,3,Free,200,0.00,F,88.79,,Y,1,7,3,3,88.90,88.95,16,0.72,5,0.30,6,0.25,27,0.24
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,3,Free,200,0.00,F,91.72,,Y,1,1,6,6,91.78,91.85,60,0.74,59,0.24,37,0.46,33,0.25
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,4,Free,200,74.81,F,73.96,,Y,2,4,1,1,74.32,74.21,9,0.64,40,0.28,52,0.13,32,0.24
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,4,Free,200,0.00,F,77.54,,Y,2,7,3,3,77.71,77.76,2,0.61,15,0.24,1,0.24,11,0.17
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,4,Free,200,0.00,F,80.10,,Y,1,5,1,6,80.26,80.27,50,0.67,22,0.38,51,0.30,46,0.42
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,13,Medley,400,204.92,F,208.75,,Y,2,4,2,2,208.92,209.01,5,0.64,37,0.44,6,0.27,39,0.32
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,13,Medley,400,0.00,F,212.27,,Y,2,6,4,4,212.50,212.39,60,0.73,59,0.19,31,0.28,7,0.15
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,13,Medley,400,0.00,F,214.44,,Y,1,5,1,6,214.62,214.58,36,0.65,58,0.47,57,0.49,16,0.55
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,14,Medley,400,181.27,F,181.62,,Y,2,4,1,1,181.67,181.74,1,0.73,47,0.16,9,0.43,32,0.24
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,14,Medley,400,0.00,F,187.16,,Y,2,8,3,3,187.32,187.21,15,0.68,43,0.24,2,0.22,40,0.15
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,14,Medley,400,0.00,F,187.82,,Y,1,5,1,4,188.04,188.04,22,0.59,49,0.69,19,0.43,52,0.48
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,14,Medley,400,0.00,F,191.44,,Y,1,3,2,7,191.62,191.74,44,0.67,25,0.15,46,0.18,11,0.05
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,15,Medley,200,94.89,F,94.35,,Y,1,5,2,2,94.55,94.50,5,0.66,59,0.28,6,,39,0.22
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,15,Medley,200,0.00,F,97.94,,Y,1,2,4,4,98.05,98.12,60,0.75,37,0.17,31,,56,0.19
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,15,Medley,200,0.00,F,98.70,,Y,1,1,5,5,99.01,98.89,27,0.63,58,0.17,57,0.24,16,0.00
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,15,Medley,200,0.00,F,100.31,Q66,Y,1,8,0,0,100.53,100.63,35,0.60,30,-0.04,55,,53,0.10
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,16,Medley,200,81.82,F,81.71,,Y,2,4,1,1,81.81,81.87,1,0.71,47,0.15,32,0.19,9,0.14
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,16,Medley,200,0.00,F,85.31,,Y,2,6,2,2,85.41,85.28,22,0.58,43,0.00,2,0.18,40,0.23
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,16,Medley,200,0.00,F,86.19,,Y,1,5,1,3,86.37,86.39,52,0.63,49,0.13,19,0.10,15,0.28
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,16,Medley,200,0.00,F,86.51,,Y,1,3,2,4,86.62,86.64,44,0.63,25,0.11,46,0.04,11,0.08
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,41,Free,400,188.97,F,192.00,,Y,2,4,2,2,192.07,192.16,39,0.69,5,0.48,31,0.40,56,0.60
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,41,Free,400,0.00,F,194.53,,Y,2,7,3,3,194.73,194.59,16,0.71,53,0.23,57,0.24,6,0.21
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,TENN,41,Free,400,0.00,F,199.29,,Y,1,4,1,5,199.40,199.49,55,0.73,27,0.24,33,0.27,60,0.51
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,42,Free,400,166.11,F,164.13,,Y,2,4,1,1,164.11,164.41,32,0.57,2,0.11,40,0.24,9,0.18
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,42,Free,400,0.00,F,170.63,,Y,2,7,3,3,170.80,170.61,52,0.65,50,0.40,1,0.24,15,0.19
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,42,Free,400,0.00,F,175.22,,Y,1,5,1,6,175.39,175.38,11,0.62,29,0.20,51,0.30,12,0.26
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,TENN,42,Free,400,0.00,F,180.08,,Y,1,3,2,9,180.27,180.20,44,0.67,46,0.34,22,0.14,28,0.04
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,3,Free,200,86.25,F,84.68,,Y,1,4,1,1,84.85,84.86,151,0.70,137,0.21,140,0.28,180,0.40
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,3,Free,200,91.49,F,90.94,,Y,1,2,4,4,91.10,91.11,174,0.64,173,0.23,146,0.33,144,0.09
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,4,Free,200,77.45,F,75.86,,Y,2,5,2,2,75.93,75.99,131,0.75,133,0.30,181,0.43,160,0.25
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,4,Free,200,80.20,F,79.38,,Y,2,3,4,4,79.62,79.38,149,0.60,159,0.01,147,0.14,165,0.22
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,13,Medley,400,205.92,F,205.35,,Y,2,5,1,1,205.49,205.45,137,0.59,145,0.68,151,0.32,180,0.23
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,13,Medley,400,212.84,F,209.03,,Y,2,3,3,3,209.21,208.99,183,0.67,148,0.18,144,0.01,140,0.01
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,13,Medley,400,217.41,F,213.77,,Y,2,1,5,5,213.81,213.79,156,0.61,146,0.21,164,0.03,136,0.09
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,14,Medley,400,190.70,F,182.01,,Y,2,5,2,2,182.19,182.21,131,0.62,129,0.68,181,0.61,133,0.15
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,14,Medley,400,192.56,F,188.26,,Y,2,3,4,5,188.50,188.32,165,0.62,154,0.16,149,0.36,177,0.34
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,15,Medley,200,93.81,F,92.58,,Y,1,4,1,1,92.71,92.70,137,0.65,148,0.06,151,,180,0.13
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,15,Medley,200,97.06,F,95.89,,Y,1,6,3,3,96.02,96.01,156,0.55,145,0.08,144,0.04,140,0.02
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,16,Medley,200,85.38,F,82.87,Q68,Y,2,5,0,0,83.07,83.06,131,0.55,129,0.18,181,0.04,133,-0.10
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,16,Medley,200,88.01,F,86.29,Q68,Y,2,7,0,0,86.41,86.41,159,0.58,154,0.14,149,0.30,160,-0.04
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,41,Free,400,196.54,F,186.93,,Y,2,5,1,1,187.13,187.09,151,0.67,137,0.44,180,0.24,148,0.23
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,41,Free,400,200.00,F,195.72,,Y,2,6,4,4,195.92,195.87,176,0.77,140,0.19,136,0.07,146,0.43
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,F,UVA,41,Free,400,204.00,F,200.84,,Y,2,8,6,7,201.08,201.02,171,0.61,155,0.04,173,0.22,174,0.21
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,42,Free,400,176.95,F,168.33,,Y,2,5,2,2,168.43,168.50,131,0.65,133,0.17,181,0.17,142,0.31
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,42,Free,400,180.00,F,174.43,,Y,2,6,5,5,174.56,0.00,159,0.64,177,0.39,153,0.18,147,0.25
2024 Tennessee Invitational,Allan Jones Intercollegiate Aquatic Center,11192024,11222024,M,UVA,42,Free,400,184.00,F,175.99,,Y,2,8,6,7,176.15,176.11,152,0.72,160,0.05,165,0.07,134,0.11
